index,premise,hypothesis,label
12,저는 영화의 시작부터 끝까지 긴장을 풀 수가 없어요.,영화 시작부터 긴장감이 감돌아요.,entailment
13,제이콥 벡의 자살 정보가 영국에 도착한 것은 7월 16일이었다.,제이콥 벡의 자살 정보는 아직 영국에 도착하지 않았다.,contradiction
14,가족이 없거나 낮에 단기간 자주 방문해 야간 돌봄을 제공하는 24시간 투어 케어 서비스 도입 등이 대표적이다.,24시간 왕복 케어 서비스는 하루 1회 장시간 방문해 가족이 없는 야간에도 케어를 제공한다.,contradiction
15,많은 것을 담고 있는 영화.,인간의 감정에 대한 내용을 담고 있는 영화.,neutral
16,국토교통부가 올해 하반기 여객자동차 및 화물자동차 운수사업법을 개정해 연료보조금 지급 기반을 마련할 계획이다.,국토교통부는 여객자동차 및 화물자동차 운수사업법을 개정할 계획이다.,entailment
17,치료는 꽤 신선했다. 이단 호크는 뱀파이어입니다. 아주 멋지다,에단 호크 뱀파이어들은 못생기고 좋지 않다.,contradiction
18,날로 빨라지는 우주기술의 속도를 보면 달이나 화성으로 우주관광을 떠날 날이 머지않은 것 같다.,우주관광이 10년 안에 상용화될 것이라는 전망도 나온다.,neutral
19,소스에 코미디를 섞어서 먹는 게 달라요.,그것이 다른 이유는 약간 코미디와 섞여 있기 때문이다.,entailment
20,세비야 대성당은 5분 후에 가실 수 있습니다.,세비야 대성당에서 10분도 안 걸립니다.,entailment
21,이 장에서는 지역 주민들의 생필품 및 의류 기부 활동이 이어졌다.,앞 장에서도 지역주민들의 기부가 이어지고 있다.,entailment
22,"아마존은 창업 초기 적자가 누적될 위험을 무릅쓰고 직구, 저가 정책, 타사 대비 빠른 배송 등의 무기로 시장을 선점했다.",아마존은 창업 초기에도 수년간 시장을 지배했다.,neutral
23,우리 모두가 함께 노래하고 춤추는 마지막 장면은 충격적입니다.,마지막 반전을 충격에 빠뜨린 마지막 장면.,neutral
24,"더불어민주당과 자유한국당, 바른미래당, 무소속 의원들로 구성된 경북도의회 유일의 4색상임위원회인 행정건강복지위원회에 관심이 쏠리는 이유이기도 하다.",행정건강복지위원회가 많은 관심을 받고 있다.,entailment
25,라키1보다 마지막 경기 장면이 더 대단했다.,Rocky 1도 게임 장면이 있어요.,entailment
26,"이에 따라 산업지역 도시계획관리를 위해 공공주도형 체계적 관리체계를 구축하고, 지역실정에 맞는 사업화를 위한 다양한 지원제도가 도입된다.",산업지역 도시계획관리의 토대를 마련할 계획이 없다.,contradiction
27,이를 위해 정부가 추진하는 혁신성장 정책에 발 빠르게 대응해 새로운 먹거리를 창출하고 창업기업을 적극 발굴해 지원할 계획이다.,정부의 혁신성장 정책에 발빠르게 대응할 수 있는 다양한 방안을 모색할 계획이다.,entailment
28,고려에서 태어나 원나라의 장군이 된 최유는 고려에 의해 포로로 잡혔다.,최유는 고려인이었다.,entailment
29,이 글의 경우 기득권층이 야니브에게 성전환 수술을 받았는지 묻지도 않고 곧바로 연락을 끊었다.,성전환 수술을 받았는지 묻지도 않고 연락을 끊은 사례도 있다.,entailment
30,"경치 9곳, 아름다운 물건 9점 사진전, 홍보기념품 배포, 관광전단 살포 등을 통해 장흥군 홍보와 관광객 잡기에 나섰다.",장흥군이 홍보용 기념품 배급을 중단한다.,contradiction
31,잠수함사령부의 우수한 인력도 잠수함을 무리 없이 운용하는 역할을 한다.,잠수함을 무리 없이 운용하는 데도 우수한 인력이 역할을 한다.,entailment
32,사진처럼 인테리어가 매우 귀엽고 사랑스럽습니다.,저는 새로운 인테리어를 했어요.,neutral
33,가족 4명이 함께 생활하는 데 불편함이 없었다.,나는 네 명의 가족과 함께 지낼 때 불편함을 느꼈습니다.,contradiction
34,특히 지난해 광주를 찾은 외국인 환자 수 증가율이 전년 대비 전국에서 가장 높은 것으로 나타났다.,광주는 전년 대비 외국인 환자 증가율이 가장 높다.,entailment
35,"구글 두들(Google Doodle)은 기념일, 행사, 업적, 사람을 기념하기 위해 구글의 웹사이트에서 구글의 로고를 일시적으로 바꾸는 것을 말한다.",구글의 로고는 웹사이트에서 일시적으로 바뀌지 않습니다.,contradiction
36,칠던의 매장은 금속 주조 회사인 윈덤 맷슨과 거래한다.,칠던의 가게는 윈덤 맷슨 사와 거래를 끝냈다.,contradiction
37,대중교통이 열악한 농촌에 거주하는 농어민 등 취약계층의 접근성을 높이기 위한 첫 마을택시 개통식이 4일 늘목1리 하늘 아래 첫 동네에서 열렸다.,첫 마을 택시는 교통편 접근이 어려운 농촌 사람들을 위한 것이다.,entailment
38,특히 공식 유튜브 채널에서 한국어와 영어로 제공되는 큐레이터 라이브 전시 투어 영상을 확인할 수 있다.,큐레이터 라이브 전시 투어 영상은 2개 국어로 제공됩니다.,entailment
39,퍼셉트론(Perceptron)은 1957년 코넬 항공 연구소의 프랭크 로젠블랫이 설계한 인공 신경망의 일종이다.,코넬항공연구소는 인공신경망을 전문으로 하는 연구소입니다.,neutral
40,경제청과 한국토지주택공사가 지난 주민설명회에서 약속한 3월 말까지 공식 입장을 밝히기 위해 발빠르게 움직이고 있다.,경제청과 LH가 3월 말까지 입장을 표명해야 한다.,entailment
41,그의 친구들은 그녀가 문학 교사이며 학교에서 루머와 괴롭힘의 대상이 되어 왔다고 말한다.,그녀는 체육 교사로서 동료 선생님을 괴롭혔다.,contradiction
42,나는 도미니크의 노래가 영화로 바뀔 줄 몰랐어.,나는 도미니크의 노래가 영화로 바뀔 줄 몰랐어.,entailment
43,와이파이가 잘 되면 최고의 에어비앤비입니다.,와이파이는 구형이라 작동이 잘 안 돼요.,neutral
44,하지만 왠지 모르게 기분이 좋았어.,남들과 달리 나는 조금 흐뭇했다.,neutral
45,올해는 상반기에 두 차례에 걸쳐 80여명이 남도문화를 살펴봤다.,상반기에는 80여명이 남도문화를 살펴봤다.,entailment
46,주인공 운혁과 젊은 층을 통해 시청자들이 그려내는 드라마.,젊은 사람들이 그 드라마에 출연합니다.,entailment
47,"전남체육대회는 검도, 게이트볼, 양궁 등 22개 종목이 참가하는 대회로 오는 25일부터 사흘간 진남종합운동장에서 열린다.",태권도는 전남 체육대회에도 포함되어 있다.,neutral
48,나는 어렸을 때 강아지를 생각하며 울 뻔했어요.,어렸을 때 키우던 고양이가 생각나서 울 뻔했다.,neutral
49,이렇게 감동받은 건 정말 오랜만이에요.,감동 받은 지 오래됐어요.,entailment
50,"이 프로그램은 액션러닝, 실무 마케팅 및 영업 체험, 국내외 선진 현장 등 팀원 간 협력이 필요한 체험을 중심으로 구성됐다.",액션 러닝은 팀원들의 협조가 필요합니다.,entailment
51,그러던 중 쇼헤이의 아내가 갑자기 늦게 귀가하자 혹시 쇼헤이가 바람을 피우는 건 아닌지 걱정돼 탐정을 고용해 쇼헤이의 주변을 조사한다.,쇼헤이는 아내가 늦게 귀가하는 것을 특별히 걱정하지 않는다.,contradiction
52,눈이 와서 테라스를 이용하지 못해서 아쉬워요.,제가 실망한 부분이 있었어요.,entailment
53,이 작품에는 천주교 사제들을 괴물로 묘사한 기이한 그림들이 담겼다.,이 기괴한 그림들은 악마를 숭배하는 사람들의 작품이었다.,neutral
54,아트 슈피겔만은 아버지 블라덱 슈피겔만과 수년간 여러 차례 인터뷰를 진행해 그의 삶을 만화로 그렸다.,아트 슈피겔만은 아버지와 수년간 연락을 하지 않았다.,contradiction
55,"인근에는 상하농장, 만돌어촌 갯벌체험마을, 선운산도립공원 등이 있어 다양한 체험을 할 수 있다.",선운산 도립 공원에는 경험할 것이 없다.,contradiction
56,"유진은 가족을 거슬러 결혼해 프랑스에서 유학하던 중 남편을 잃었는데, 남편과 철민이 너무 닮았어요.",유진의 남편과 철민은 형제입니다.,neutral
57,데미 무어와 게리 올드먼의 연기가 좋습니다.,Gary Oldman의 연기는 훌륭합니다.,entailment
58,최고입니다 말로 표현할 수 없을 정도로 최고예요.,정말 최악이네요.,contradiction
59,각종 안전사고와 재난사례를 통해 안전사고 예방의 중요성을 알리고 비상상황에 대한 적절한 대응방안을 안내했다.,안전사고 예방법이 생각보다 수월하다.,neutral
60,곳곳에 드러나는 색과 물건들이 영국을 대표했다.,영국을 드러내는 색깔이 하나 이상 있다.,neutral
61,"각 분야별 전문가 의견을 수렴한 뒤 보고서에 담긴 연구의 신뢰도를 확실한 동의, 중간 동의, 제한적인 동의 등 3단계로 평가했다.",보고서에서 연구의 신뢰성은 3단계로 평가되고 제시되었다.,entailment
62,나는 영화가 빨리 끝나는 순간만 기다렸다.,나는 단지 영화가 빨리 시작되기를 기다렸어.,contradiction
63,"그 순간, 빌은 그의 환자 루나단슨의 부고 소식을 듣고 집을 방문한다.",빌은 우연히 루나단슨의 집을 방문한다.,contradiction
64,순천시는 2019년에도 소규모 공동주택에 대한 안전점검을 지속적으로 실시해 시민들의 안전을 보다 구체적으로 살펴볼 계획이다.,순천시는 시민들의 안전을 대략적으로 점검할 계획이다.,contradiction
65,한편 이번에 공급을 시작하는 렘데시비르는 길리어드와의 계약 조건에 따라 도입이 마감된다.,렘데시비르의 소개는 오늘 온라인으로 공개됩니다.,contradiction
66,청구는 국가공무원법에 따라 설치된 소청심사위원회가 하며 화재명령 이상의 소청은 소청심사 때 중앙고발심사위원회가 심사한다.,이의신청 심사는 6개월이 걸린다.,neutral
67,"반면 삼성그룹은 어두운 면이 있고, 경영권 불법 승계 의혹 등 부정적인 시각도 있다.",삼성그룹 경영권 불법승계와 관련된 의혹 등 부정적인 시각도 있다.,entailment
68,잔인한 특수효과 없이 공포와 스릴러의 정도를 보여준다.,충분히 무서웠지만 잔혹한 특수효과가 없어 조금 아쉬웠다.,neutral
69,압도적인 무게감을 지닌 강하고 불행한 인력거꾼의 삶을 편집해야 하는 슬픈 영화입니다.,압도적인 무게의 나약하고 불행한 인력거꾼의 삶을 편집하지 않은 영화.,contradiction
70,일본의 한 매체는 21일 아베 신조 자민당 총재가 박근혜 당선인 특사를 파견해 친서를 전달할 예정이라고 전했다.,아베 신조 자민당 총재가 박근혜 총재 당선인을 위해 어떤 일을 할지는 아직 공개되지 않았다.,contradiction
71,한편 농림축산식품부는 설 명절을 앞두고 국민들에게 축산농가 방문을 자제해 줄 것을 당부했다.,농림축산식품부가 설 연휴 축사 방문을 독려했다.,contradiction
72,그는 매우 친절하고 반응이 빠릅니다.,그는 반응이 빠르다.,entailment
73,"릴카는 게임, 축구, 프랑스어와 같은 다양한 콘텐츠로 시청자들과 소통합니다.",릴카는 현재 콘텐츠를 보다 다양한 방식으로 확대할 계획이다.,neutral
74,국립공원 내 다중이용시설이 검역과 운영여건을 고려해 23일부터 운영을 재개한다.,국립공원 내 다중이용시설은 23일 이후 가동이 불가능하다.,contradiction
75,"바흐의 무반주 소나타와 파르티타가 연주되며, 뛰어난 기교와 충실한 해석으로 관객들에게 최고의 바흐를 선사할 예정이다.",그녀는 바흐의 해석을 완벽하게 따를 것입니다.,contradiction
76,"특히 지난해 사망자 6명은 등교 전 3명, 저학년 2명, 고학년 1명으로 모두 보행 중 숨진 것으로 조사됐다.",지난해 사망자 6명 중 절반이 취학 전 학생이었다.,entailment
77,"다만 현재 생계급여, 실업급여, 긴급고용안정지원금 등 다른 법률에 따라 지원을 받고 있는 경우에는 지원 대상에서 제외된다.",현재 다른 법률에 따라 지원을 받지 못하는 경우에는 무조건 지원 대상에 포함된다.,neutral
78,1964년 1차 인민혁명당 사건으로 유죄 판결을 받았던 관련자들이 48년 만에 재심에서 무죄를 선고받았다.,첫 번째 인민혁명당 사건에서 유죄 판결을 받았던 관련자들이 48년 만에 모두 재심에서도 유죄 판결을 받았다.,contradiction
79,연구현장의 의견을 반영하기 위해 자체관리시스템을 마련하고 재료이용자의 실비부담 원칙을 통해 재료은행 운영 안정성을 강화한다.,자체 관리시스템을 통해 연구현장의 의견을 반영하고 운영할 수 있다.,entailment
80,시는 서비스 추진 과정에서 다양한 시민들의 의견을 담아내겠다는 시민들의 의지가 정책이 되는 종합발전계획을 구상 중이다.,시는 시민들의 의견을 무시하고 종합발전계획을 수립하고 있다.,contradiction
81,위로를 받고 싶은 사람들에게 추천하는 영화.,위로를 받고 싶은 사람들에게 추천하는 영화.,entailment
82,또한 모범음식점은 1년 거치 2년 균등분할 상환 조건으로 최대 3천만 원까지 추가 운영자금을 지원받을 수 있다.,모든 음식점이 운영자금 추가 대출을 받을 수 있다.,contradiction
83,시간당 약 60톤의 물이 불어나 관광객과 주민들에게 귀중한 생수가 된다.,시간당 50톤 이상의 물이 불어난다.,contradiction
84,차로 15분 거리에 한국 마트가 있어요.,코리안 마트는 차로 15분 거리에 있습니다.,entailment
85,William Legrand는 황금 딱정벌레에게 물렸고 보물을 찾고 싶어한다.,William Legrand는 짚으로 만든 딱정벌레에게 물렸고 보물을 찾고 싶어합니다.,contradiction
86,어디서나 생동감 넘치는 재미와 날카로운 비평이 담긴 교훈적인 10점 애니메이션.,애니는 사회 현상을 비판했다.,neutral
87,"김래원, 김해숙의 연기로 넘어가기에는 영화가 너무 엉성하다.",김해숙은 오직 감독으로서만 영화에 참여했다.,contradiction
88,그의 일은 그린 마일이라고 불리는 녹색 복도를 지나 전기의자가 놓인 처형장으로 가는 것입니다.,그는 매일 사형수들을 처형하도록 지시한다.,neutral
89,생각보다 깨끗하고 좋은 숙소네요.,저는 다음 번에는 머물고 싶습니다.,neutral
90,북한의 미사일 공격을 방어하기 위해 패트리엇 미사일도 도입됐다.,북한의 미사일 공격은 아직 감행된 적이 없다.,neutral
91,극장에서 안 본 게 다행인지 모르겠어요.,아마도 극장이 아니라 집에서 본 것이 오히려 좋았다.,neutral
92,홍콩 영화는 다 그래요. 적절한 양의 웃음과 액션.,모든 홍콩 영화는 중간 정도의 인기를 누리고 있다.,neutral
93,"다만 조선민주주의인민공화국 사회가 폐쇄된 점, 장성택 전 부위원장이 이미 처형된 점 등을 고려하면 진실이 영원히 밝혀지기는 어려울 것으로 보인다.",장성택이 처형되었다.,entailment
94,하지만 전반적으로 만족스러운 숙소였어요.,전반적으로 숙박 시설이 불만족스럽습니다.,contradiction
95,강화도에서 태어나 줄곧 그곳에서 자란 유경은 호균의 일행에게 관광 안내를 부탁한다.,유경은 호균 일행의 여행 가이드에 특별한 관심이 없다.,neutral
96,"하지만, 그는 지금 분자 기계를 보면 다양한 미래를 예측할 수 있다며 우승자의 공헌에 찬사를 보냈습니다.",그는 상을 받은 사람의 공로를 치하했다,entailment
97,이렇게 바디랭귀지로 소통이 잘 되는지 궁금하실 거예요.,저는 바디 랭귀지로 의사소통을 할 수 없습니다.,contradiction
98,대리운전기사를 폭행한 혐의를 받는 단원고 유족 3명에 대한 구속영장이 발부됐다.,얼마 전 단원고 유족 3명에 대한 구속영장이 기각됐습니다.,entailment
99,왕실의 후손인 박첨지는 조상이 왕임을 자랑하며 상투를 쓰고 왕릉을 돌보는 것을 인생의 기쁨으로 삼고 있다.,박첨지는 왕릉을 돌보는 것을 부끄러워합니다.,contradiction
100,리버풀이 최근 무패 행진을 이어가며 훈련장에서 좋은 분위기를 보이고 있다.,리버풀은 최근 한 번도 진 적이 없다.,entailment
101,홍경인의 엄석대 연기가 인상적이었다.,홍경인이 어떤 연기를 하든 인상적이다.,neutral
102,"매일 밤, Marion은 그녀의 남편을 방문해서 배우들에 대해 이야기합니다.",남편은 마리온의 이야기에 관심이 없다.,neutral
103,최근 편의시설을 확충해 캠핑하기에도 좋다.,그곳은 큰 오토캠핑장입니다.,neutral
104,스키니르는 주인의 분노를 두려워하지만 시키는 대로 한다.,주인의 분노는 스키니르에게 공포의 대상이다.,entailment
105,조선민주주의인민공화국에서 발사된 포탄 수십 발이 오늘 오후 2시 34분쯤부터 4시 42분쯤까지 연평도에 떨어졌습니다.,연평도 주민 수십 명이 포탄에 맞아 다쳤다.,neutral
106,"2016년 상주영덕고속도로가 개통되면서 서울, 대전, 부산에서 편리하게 청송을 방문할 수 있다.",상주영덕고속도로는 2016년에 개통되었습니다.,entailment
107,카탈루냐에 파견된 최고위급 관리 엔리치 미요는 투표 자체가 불가능하다고 주장한다.,카탈루냐에 파견된 엔리치 미요의 국적은 스페인이다.,neutral
108,관련 법령을 검토하고 관련 단체와 협의한 결과 뉴닉의 경우는 해당 법률에 따라 달라질 수 있다.,누닉은 결국 정보통신법 위반으로 벌금을 냈다.,neutral
109,국공립 유치원이 계획보다 빠르게 증설하고 있다.,국공립 유치원의 증설이 계획보다 더디게 진행되고 있다.,contradiction
110,위상(phase)은 진동이나 파동 등 주기적으로 반복되는 현상을 특정 시간이나 장소의 변화 국면을 가리키는 물리 용어다.,위상이라는 단어를 사용하는 유일한 공부는 수학이다.,contradiction
111,28번 트램의 출발지는 골목길 바로 아래에 있습니다.,근처에서 28번 전차를 타시면 됩니다.,entailment
112,한탄강 관련 게임과 체험은 물론 자유학기제와 연계한 교육프로그램도 운영한다.,한탄강 관련 놀이와 체험이 진행된다.,entailment
113,욕실 수압도 좋고 뜨거운 물도 잘 나와요. 그리고 그들은 새로운 에어컨도 가지고 있습니다.,에어컨은 이전 제품과 동일합니다.,contradiction
114,제가 이런 종류의 영화를 다시 볼 수 있을까요?,저는 이런 영화를 봤어요.,entailment
115,식약처가 해당 제품의 유통과 판매를 잠정 중단하고 시중에 유통되는 제품을 수거해 검사했다.,제품 검사 결과 독극물이 함유된 성분이 검출됐다.,neutral
116,항구 마을에 사는 베릿은 외국에서 막 돌아온 선원 고스타와 인연을 맺는다.,버트는 산촌에 산다.,contradiction
117,"여당 의원 전원이 개인비리로, 야당이 모두 입법비리로 검찰 수사를 받고 있다.",모든 여당 의원들이 입법비리 의혹으로 수사를 받고 있을 뿐이다.,contradiction
118,마을공방 조성사업은 지역 내 유휴 공공시설을 신축하거나 리모델링해 마을공동체 복원을 위한 거점공간을 조성하는 사업이다.,세 개의 새로운 공공 시설이 예정돼 있다.,neutral
119,"오전 10시쯤 발생한 사고여서 출근길만큼 불편하지는 않았지만, 회사를 막론하고 잇따른 탈선 사고에 시민들이 공포에 떨고 있는 게 사실이다.",시민들은 오전 10시쯤 일어난 사고에 대해 공포를 느꼈다.,entailment
120,"이밖에도 미래 모빌리티 확산 확대를 위해 총 20조3,000억원이 집중 투자되며, 약 15만1,000명의 일자리가 창출될 전망이다.",미래 모빌리티 공급 확대를 위해 총 20조3000억원이 집중 투입된다.,entailment
121,이것은 다른 엑스맨 영화보다 훨씬 더 재미있다.,이 영화도 엑스맨 영화입니다.,entailment
122,,카타세요는 레스토랑의 견습생입니다.,entailment
123,이를 위한 첫걸음으로 지난달 28일 정순주 부시장이 참석해 대상기업 선정과 부서별 활동계획을 점검했다.,부서별 대상기업 선정 및 활동계획서는 지난달 28일 정순주 부시장 주관으로 점검이 이뤄졌다.,entailment
124,이런 영화는 내 취향이 아닌 것 같아.,이런 영화가 제 취향인 것 같아요.,contradiction
125,금융감독원은 2020년 5월 21일 공인인증서가 개편될 것이라고 발표했다.,금융감독원은 2020년 5월 21일에 발표했다.,entailment
126,제3차 소송지원변호단에는 대한변호사협회 등이 추천한 변호사 20명이 참여했다.,3차 소송지원 변론단에는 변호사 10명이 참여했다.,contradiction
127,두 사람은 이날 오전 술에 취해 인근 식당에서 주먹을 움켜쥔 것으로 알려졌다.,두 사람은 술에 취하지 않았다.,contradiction
128,이건 누군가의 뺨을 때리는 부분이에요. 너무하네.,갑과을 코너에는 이마를 때리는 장면이 등장한다.,entailment
129,아름답고 거대한 대자연 앞에서 무의미한 인종이 충돌한다.,대자연 앞에서의 무의미한 인종 갈등.,entailment
130,저는 공각기동대의 새로운 모습들과 새로운 이야기들을 보게 되어 매우 기쁩니다.,공각기동대의 새로운 모습들이 흥미롭다.,neutral
131,민간직업훈련의 경우 직업훈련기관을 대상으로 온라인훈련 전환 컨설팅도 제공한다.,민간 직업훈련은 따로 제공되는 것이 없다.,contradiction
132,"첫 번째와 다른 모습을 보여주고 있지만, 전작과 큰 충격은 없었습니다.",전작과 줄거리가 조금 달라졌다.,neutral
133,"침대가 편안하고, 주방과 욕실이 완벽합니다.",부엌이 완벽해요.,entailment
134,나는 반전을 기다리기엔 너무 몰입했어요.,몰입도가 높아 반전이 기대된다.,contradiction
135,군이 전반적으로 부실하게 수사했을 가능성이 있다고 주장할 수 있다.,수사 과정에서 은폐된 사실이 있다는 주장만 제기할 수 있는 대목이다.,neutral
136,지하철역에서 가까워서 이동하기 편해요.,지하철역에서 걸어서 5분 거리입니다.,neutral
137,전기를 사용할 때 주의해야 할 점이 바로 이것이다.,전기제품을 사용할 때 주의해야 할 점이 바로 이것이다.,entailment
138,이 시나리오를 만들기로 한 스태프들에게 경의를 표합니다.,관계자들은 이 시나리오를 보고 제작 의사를 포기했다.,contradiction
139,병을 앓으며 학업을 중단한 정희는 완쾌되어 재수와 자신의 뜻에 따른 우정 헌신으로 복학했다.,정희는 학교로 돌아갈 수 없다.,contradiction
140,가입자가 관심을 갖는 유용하고 상업적인 정보를 동시에 전달하는 뉴닉의 브랜드 콘텐츠가 한편으로는 광고라는 사실을 축소시킬 수 있는 것으로 보이기 때문이다.,가입자가 관심을 갖는 유용하고 상업적인 정보를 동시에 전달하는 뉴닉의 브랜드 콘텐츠는 광고다.,entailment
141,두 사람이 간단하게 지내기에 좋은 곳이라고 생각합니다.,혼자 소박하게 지내는 것이 좋습니다.,neutral
142,디지털 경제로의 선제적 전환을 시도하는 것은 시대의 중요한 과제이다.,디지털 경제로의 선제적 전환이 먼저 시도돼야 한다.,neutral
143,보조금 지급 단가는 실제 수소 가격 인하 추세와 택시·트럭의 상용화 등을 고려해 2년마다 주기적으로 조정된다.,지급단가는 다음 보조금 지급단가 조정일에 인하된다.,neutral
144,"난 그걸 말할 수 없다. 세 번이 아니라 두 번 보시고, 백 투 더 퓨처 시리즈를 세 번 이상 보세요.",백 투 더 퓨처 시리즈는 계속해서 볼 가치가 있습니다.,entailment
145,"1, 2회를 분리해 혼자 보는 게 포인트다.","1, 2편을 합본으로 보는 게 포인트다.",contradiction
146,가족 단위 여행객들이 먹기에 아주 좋습니다.,가족 단위 여행객들이 많이 방문합니다.,neutral
147,101빌딩 근처에는 즐길 거리가 많습니다.,101빌딩 근처에서는 즐길 거리를 찾기가 힘드네요.,contradiction
148,이는 2009년 수립된 국제과학비즈니스벨트 특별종합계획이 제시한 3조5000억원보다 1조7000억원이 늘어난 규모다.,이는 2009년 수립된 국제과학비즈니스벨트 특별종합계획이 제시한 3조5000억원보다 1조7000억원이 줄어든 규모다.,contradiction
149,특히 엄마가 구워주신 빵은 매우 맛있었습니다.,사실 저희 어머니는 빵을 굽지 않으셨어요.,contradiction
150,시나리오 작가 마크 벨리슨은 시나리오가 지루하고 그의 유명한 동료 브래드 케슬러에 의해 무능한 패배자로 취급되었기 때문에 회사에서 해고된다.,마크 벨리슨은 회사에서 해고된 후 시나리오 작가 일을 그만두었다.,neutral
151,가을에는 노랗고 붉은 단풍이 절경을 이루는 단풍정원과 다양한 수생식물이 서식하는 생태정원이 제격이다.,생태정원에는 다양한 종류의 수생식물이 살고 있다.,entailment
152,경호원 2명과 경찰 1명이 인터뷰에 동행했다.,인터뷰에 동행한 사람도 있었다.,entailment
153,젊은 청년인 Vicente는 그의 어머니의 양복점에서 일한다.,비센테의 어머니 양복점은 이 지역에서 유명하다.,neutral
154,호스트는 메시지에 즉시 응답합니다.,호스트가 메시지로 응답합니다.,entailment
155,누구나 한 번쯤은 할 수 있는 상상 속의 것들을 공감하는 기쁨을 만끽하세요.,상상 속의 것들에 공감하는 것은 불가능합니다.,contradiction
156,"충전소 1곳당 사업비는 일반 30억원, 버스 60억원이 소요된다.","사업비는 충전소 1곳당 60억원, 버스 30억원이 소요된다.",contradiction
157,국방부 발표에 앞서 여러 언론을 통해 새드가 성주에 배치될 것이라는 소식이 전해졌다.,국방부 발표를 앞두고 사드 배치 소식이 전해졌다.,entailment
158,브루스 윌리스가 드라마틱하게 연기를 잘한다는 것 외에는 할 말이 없는 영화.,영화를 보기 전에는 브루스 윌리스가 드라마 연기를 잘하는지 몰랐다.,entailment
159,아름다운 풍경과 소녀들의 아름다운 우정 이야기가 잘 어우러진 애니도 지브리 역으로 나온다.,아름다운 우정이 잔잔한 여운을 주는 애니.,neutral
160,한 번에 시내로 가는 버스가 있는 것 같습니다.,도심으로 가는 대중교통이 한 번에 없는 것 같아.,contradiction
161,그곳은 많은 볼거리와 가깝기 때문에 걷기 편합니다.,여러분은 여러 명소들을 걸어다닐 수 있습니다.,entailment
162,행안부는 결과 발표 후 전문 심사위원과 참가자들의 상호 심사를 거쳐 31일 경품 작품을 선정해 각 종목별로 행정안전부 장관상을 수여할 계획이다.,행정안전부가 31일 오후 수상자를 선정한다.,neutral
163,현직 도지사로서 업무 공백 우려가 높고 신분과 신분이 확실한 만큼 도주 우려가 없다고 주장했다.,현직 도지사로서 도피 위험이 크다고 주장했다.,contradiction
164,"그는 그의 가족을 구하기 위해 집으로 달려갔지만, 그의 아내와 아들은 이미 군인들에 의해 죽임을 당했다.",그는 집에서 멀리 떨어져 있었다.,neutral
165,"환경부와 국립공원관리공단은 23일부터 생태탐사장, 숙박형 숙박시설, 야영장 등 다중이용시설 운영을 재개한다고 밝혔다.",환경부와 국립공원관리공단은 생태탐사센터가 23일부터 운영을 재개한다고 밝혔다.,entailment
166,조직 간 협업을 이끌어낸 협업 인재의 아이디어와 노력이 사업 성공에 핵심적인 역할을 한 사례도 있다.,협업 인재가 핵심 역할을 한 유일한 사례다.,contradiction
167,감독이 된다는 것은 저에게 꼭 필요한 자격시험이라는 생각을 하게 합니다.,누구나 감독이 될 수 있다는 생각이 든다.,contradiction
168,그 시대에 이런 긴장과 몰입을 그려내는 게 대단하다.,이 긴장과 몰입은 오랜 기간에 걸쳐 계획되었다.,neutral
